0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,49
12,129
13,274
14,529
15,1003
16,1663
17,2432
18,3524
19,4680
20,5769
21,7195
22,8415
23,9656
24,10970
25,12248
26,13281
27,14361
28,15240
29,15975
30,16579
31,16937
32,17181
33,17391
34,17568
35,17778
36,18019
37,18258
38,18464
39,18764
40,18977
41,19303
42,19756
43,20295
44,21217
45,21883
46,22177
47,22586
48,23015
49,23418
50,23965
51,24595
52,25266
53,25462
54,25695
55,25735
56,25772
57,25808
58,25852
59,25885
60,25915
61,25939
62,25965
63,26016
64,26036
65,26050
66,26066
67,26113
68,26139
69,26181
70,26216
71,26248
72,26310
73,26348
74,26376
75,26413
76,26438
77,26485
78,26534
79,26572
80,26606
81,26637
82,26691
83,26755
84,26800
85,26838
86,26878
87,26923
88,26979
89,27017
90,27086
91,27143
92,27221
93,27265
94,27340
95,27404
96,27452
97,27535
98,27606
99,27676
100,27749
101,27839
102,27898
103,27988
104,28070
105,28178
106,28272
107,28386
108,28477
109,28617
110,28755
111,28945
112,29105
113,29306
114,29569
115,29813
116,30133
117,30728
118,31685
119,31933
120,32044
121,32145
122,32302
123,32468
124,32548
125,32677
126,32817
127,33056
128,33417
129,33430
130,33459
131,33490
132,33520
133,33568
134,33602
135,33633
136,33679
137,33717
138,33750
139,33780
140,33814
141,33840
142,33855
143,33896
144,33934
145,33973
146,34011
147,34054
148,34099
149,34163
150,34213
151,34257
152,34327
153,34375
154,34445
155,34514
156,34576
157,34626
158,34694
159,34771
160,34856
161,34962
162,35055
163,35150
164,35250
165,35366
166,35504
167,35661
168,35831
169,36053
170,36345
171,36748
172,37348
173,38140
174,38309
175,38464
176,38794
177,38900
178,39041
179,39257
180,39367
181,39512
182,39852
183,40000
184,40000
185,40000
186,40000
187,40000
188,40000
189,40000
190,40000
191,40000
192,40000
193,40000
194,40000
195,40000
196,40000
197,40000
198,40000
199,40000
200,40000
201,40000
202,40000
203,40000
204,40000
205,40000
206,40000
207,40000
208,40000
209,40000
210,40000
211,40000
212,40000
213,40000
214,40000
215,40000
216,40000
217,40000
218,40000
219,40000
220,40000
221,40000
222,40000
223,40000
224,40000
225,40000
226,40000
227,40000
228,40000
229,40000
230,40000
231,40000
232,40000
233,40000
234,40000
235,40000
236,40000
237,40000
238,40000
239,40000
240,40000
241,40000
242,40000
243,40000
244,40000
245,40000
246,40000
247,40000
248,40000
249,40000
250,40000
251,40000
252,40000
253,40000
254,40000
255,40000
256,40000
257,40000
258,40000
259,40000
260,40000
261,40000
262,40000
263,40000
264,40000
265,40000
266,40000
267,40000
268,40000
269,40000
270,40000
271,40000
272,40000
273,40000
274,40000
275,40000
276,40000
277,40000
278,40000
279,40000
280,40000
281,40000
282,40000
283,40000
284,40000
285,40000
286,40000
287,40000
288,40000
289,40000
290,40000
291,40000
292,40000
293,40000
294,40000
295,40000
296,40000
297,40000
298,40000
